City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Leningradskiy,RU,2020-08-17 22:17:20,69.38,178.42,42.46,72,95,12.17
259,Berlevag,NO,2020-08-17 22:17:20,70.86,29.09,44.6,87,75,12.75
260,Natitingou,BJ,2020-08-17 22:17:21,10.3,1.38,73.69,87,4,1.3
261,Hirara,JP,2020-08-17 22:17:21,24.8,125.28,80.6,88,40,4.7
262,Linxia,CN,2020-08-17 22:17:21,35.6,103.21,51.37,65,85,2.26
263,Kysyl-Syr,RU,2020-08-17 22:17:21,63.9,122.76,48.38,60,0,3.85
264,Hami,CN,2020-08-17 22:14:27,42.8,93.45,73.85,20,0,8.81
265,Santa Maria,BR,2020-08-17 22:17:21,-29.68,-53.81,62.6,59,0,6.93
266,Talaya,RU,2020-08-17 22:17:21,61.38,152.75,48.69,84,100,1.88
267,Aba,NG,2020-08-17 22:17:22,5.11,7.37,77.0,88,40,7.07
268,Envira,BR,2020-08-17 22:17:22,-7.3,-70.22,87.28,53,81,3.2
269,Narsaq,GL,2020-08-17 22:17:22,60.92,-46.05,57.2,54,23,4.7
270,Pisco,PE,2020-08-17 22:17:22,-13.7,-76.22,64.4,77,1,9.17
271,Beloha,MG,2020-08-17 22:17:22,-25.17,45.05,64.11,95,28,7.58
272,Caravelas,BR,2020-08-17 22:17:22,-17.71,-39.25,72.73,82,3,6.49
273,Tieling,CN,2020-08-17 22:17:23,42.29,123.84,75.54,94,44,9.86
274,Atar,MR,2020-08-17 22:17:23,20.52,-13.05,101.05,24,0,9.35
275,San Rafael,AR,2020-08-17 22:17:23,-34.62,-68.33,61.88,26,0,8.88
276,New Amsterdam,GY,2020-08-17 22:17:23,6.25,-57.52,79.18,85,83,3.98
277,Gat,IL,2020-08-17 22:13:11,31.61,34.76,77.0,46,0,2.06
278,Komsomolskiy,UZ,2020-08-17 22:17:23,40.43,71.72,73.4,69,90,7.25
279,Diffa,NE,2020-08-17 22:17:23,13.32,12.61,85.1,55,54,7.92
280,Broome,US,2020-08-17 22:17:23,42.25,-75.83,78.01,44,1,9.17
281,Dingle,PH,2020-08-17 22:17:23,11.0,122.67,75.9,89,100,2.68
282,Kruisfontein,ZA,2020-08-17 22:17:24,-34.0,24.73,53.01,62,99,13.0
283,Isla Mujeres,MX,2020-08-17 22:17:24,21.23,-86.73,89.6,66,75,9.17
284,Taltal,CL,2020-08-17 22:17:24,-25.4,-70.48,55.96,67,25,4.99
285,Henderson,US,2020-08-17 22:15:12,36.04,-114.98,111.99,16,1,12.75
286,Presidencia Roque Saenz Pena,AR,2020-08-17 22:17:24,-26.79,-60.44,62.58,35,0,5.35
287,Pouebo,NC,2020-08-17 22:17:24,-20.4,164.57,71.26,77,98,7.11
288,Anshun,CN,2020-08-17 22:17:24,26.25,105.93,63.21,97,98,3.91
289,Corrente,BR,2020-08-17 22:17:25,-3.74,-43.34,82.99,49,87,2.15
290,Pocatello,US,2020-08-17 22:12:28,42.87,-112.45,96.8,13,1,8.05
291,Kuytun,RU,2020-08-17 22:17:25,54.34,101.5,46.38,80,87,6.51
292,Teguise,ES,2020-08-17 22:17:25,29.06,-13.56,73.4,83,20,21.92
293,Hay River,CA,2020-08-17 22:15:54,60.82,-115.8,62.6,77,40,6.93
294,Jaisinghnagar,IN,2020-08-17 22:17:25,23.7,81.38,75.16,95,100,9.13
295,Ngunut,ID,2020-08-17 22:17:25,-8.11,112.02,72.52,90,15,5.39
296,Riyadh,SA,2020-08-17 22:16:58,24.69,46.72,89.6,15,0,6.93
297,Akhisar,TR,2020-08-17 22:17:26,38.92,27.84,65.46,72,0,5.95
298,Jutai,BR,2020-08-17 22:17:26,-5.18,-68.9,79.36,81,95,0.25
299,Vostok,RU,2020-08-17 22:17:26,46.49,135.88,58.89,86,94,4.36
300,Palana,RU,2020-08-17 22:17:26,59.12,159.97,55.71,71,25,0.72
301,Chaibasa,IN,2020-08-17 22:17:26,22.57,85.82,77.32,91,98,3.85
302,Lebu,CL,2020-08-17 22:17:26,-37.62,-73.65,49.64,80,46,6.4
303,Belmonte,BR,2020-08-17 22:17:27,-15.86,-38.88,75.2,73,75,8.05
